//
///////////////////////////////////////////EXTRASUNNY_LA 
//
// Midnight
//	Amb					Amb_Obj 				Dir 					Sky top				Sky bot				SunCore			SunCorona			SunSz		SprSz	SprBght		Shdw			LightShd			PoleShd			FarClp			FogSt			LightOnGround			LowCloudsRGB			BottomCloudRGB			WaterRGBA			Alpha1    RGB1			Alpha2    RGB2			CloudAlpha			IntensityLimit			WaterFogAlpha			DirMult 
	22 22 22 			71 71 81 			255 255 255 			30 43 56 			206 139 108 			255 128 0 			5 0 0 			0.8		0.8		0.3			200 100 0			400.0		100.0		0.8			30 20 0			3 3 3			85 85 65 240			254 66 67 66			254 66 66 93			0	90	0	0.00		
// 5 AM
	22 22 22 			71 71 81 			255 255 255 			30 43 56 			206 139 108 			255 128 0 			255 128 0 			-0.1		0.8		0.1			150 100 0			400.0		100.0		0.8			35 9 10			27 30 36			53 104 104 240			254 66 67 66			254 66 66 93			0	90	0	0.00		
// 6 AM
	22 22 22 			71 71 81 			255 255 255 			30 43 56 			206 139 108 			255 128 0 			255 128 0 			8.3		0.8		0.3			140 93 0			800.0		100.0		0.8			100 34 25			120 92 88			90 170 170 240			254 66 67 66			254 66 66 93			25	120	0	0.00		
// 7 AM
	22 22 22 			71 71 81 			255 255 255 			30 43 56 			206 139 108 			255 255 255 			255 255 255 			1.9		0.8		0.3			100 50 75			800.0		100.0		0.5			120 40 40			159 142 106			145 170 170 240			254 66 67 66			254 66 66 93			25	180	0	0.00		
// Midday
	22 22 22 			71 71 81 			255 255 255 			30 43 56 			206 139 108 			255 255 255 			255 255 255 			1.1		0.8		-0.1			236 0 190			800.0		10.0		-0.1			44 34 23			145 164 183			90 170 170 240			254 66 67 66			254 66 66 93			25	180	0	0.00		
// 7 PM
	22 22 22 			71 71 81 			255 255 255 			30 43 56 			206 139 108 			222 88 0 			122 55 0 			3.9		0.8		-0.1			110 40 75			800.0		10.0		0.8			120 40 40			200 123 96			50 97 97 240			254 66 67 66			254 66 66 93			25	180	0	0.00		
// 8 PM
	22 22 22 			71 71 81 			255 255 255 			30 43 56 			206 139 108 			255 128 0 			255 128 0 			1.9		0.8		0.3			100 60 0			800.0		10.0		0.8			120 40 40			72 107 159			67 67 67 240			254 66 67 66			254 66 66 93			25	140	0	0.00		
// 10 PM
	22 22 22 			71 71 81 			255 255 255 			30 43 56 			206 139 108 			255 128 0 			5 8 0 			0.8		0.8		0.3			160 100 0			600.0		10.0		0.8			70 27 10			15 11 34			67 67 62 240			254 66 67 66			254 66 66 93			25	90	0	0.00		
//
///////////////////////////////////////////SUNNY_LA 
//
// Midnight
//	Amb					Amb_Obj 				Dir 					Sky top				Sky bot				SunCore			SunCorona			SunSz		SprSz	SprBght		Shdw			LightShd			PoleShd			FarClp			FogSt			LightOnGround			LowCloudsRGB			BottomCloudRGB			WaterRGBA			Alpha1    RGB1			Alpha2    RGB2			CloudAlpha			IntensityLimit			WaterFogAlpha			DirMult 
	2 2 17 			83 83 83 			255 255 255 			34 29 55 			184 160 192 			255 128 0 			5 0 0 			0.8		0.3		0.3			200 100 0			800.0		100.0		0.8			0 0 0			3 3 3			85 85 65 240			192 74 75 74			192 109 109 110			55	220	0	0.00		
// 5 AM
	2 2 17 			83 83 83 			255 255 255 			34 29 55 			184 160 192 			255 128 0 			255 128 0 			-0.1		0.3		0.8			150 100 0			800.0		100.0		0.8			0 0 0			14 15 18			25 51 52 240			192 74 75 74			192 109 109 110			90	220	0	0.00		
// 6 AM
	2 2 17 			83 83 83 			255 255 255 			34 29 55 			184 160 192 			255 128 0 			255 128 0 			1.1		0.5		0.1			140 93 0			800.0		100.0		0.8			100 34 25			120 92 88			90 170 170 240			192 74 75 74			192 110 110 110			177	220	0	0.00		
// 7 AM
